repo,status,class,value_usd,notes
diodes_helium_diodes,ok,docs,118,
diodes_helium,ok,docs,118,
diodes_electron_tunneling,ok,docs,118,
pewpi-emoji-login,ok,mixed,118,
c13b0-cube-003,ok,docs,118,
quantum_transport_electron_tunneling,ok,docs,118,
quantum_transport_helium,ok,docs,118,
quantum_transport_helium_diodes,ok,docs,118,
quantum_transport_quantum,ok,docs,118,
quantum_transport_quantum_helium,ok,docs,118,
quantum_transport_quantum_vectors,ok,docs,118,
diodes_quantum,ok,docs,109,
c13b0_item_001_index,ok,docs,136,
c13b0_c13b0_cart_item_001_20251223_085814_index,ok,docs,136,
c13b0_.c13b0_tmp_c13b0_item_001_index_index,ok,docs,136,
c13b0_cart_item_001_20251223_085814,ok,mixed,136,
c13b0_site_item_001,ok,mixed,136,
quantum_quantum_vectors,ok,docs,109,
quantum_quantum_helium,ok,docs,109,
infinity-brain-111,skip,locked,,pixie_lock
quantum_transport_silver_diodes,ok,docs,109,
quantum_transport_superfluid_helium,ok,docs,109,
quantum_vectors_diodes,ok,docs,109,
quantum_vectors_electron_tunneling,ok,docs,109,
quantum_vectors_helium,ok,docs,109,
quantum_vectors_helium_diodes,ok,docs,109,
quantum_vectors_quantum,ok,docs,109,
quantum_vectors_quantum_helium,ok,docs,109,
quantum_vectors_quantum_transport,ok,docs,109,
quantum_vectors_silver_diodes,ok,docs,109,
quantum_vectors_superfluid_helium,ok,docs,109,
silver_diodes_diodes,ok,docs,109,
silver_diodes_electron_tunneling,ok,docs,109,
silver_diodes_helium,ok,docs,109,
silver_diodes_helium_diodes,ok,docs,109,
silver_diodes_quantum,ok,docs,109,
silver_diodes_quantum_helium,ok,docs,109,
silver_diodes_quantum_transport,ok,docs,109,
silver_diodes_quantum_vectors,ok,docs,109,
silver_diodes_superfluid_helium,ok,docs,109,
superfluid_helium_diodes,ok,docs,109,
superfluid_helium_electron_tunneling,ok,docs,109,
superfluid_helium_helium,ok,docs,109,
superfluid_helium_helium_diodes,ok,docs,109,
