nohup: ignoring input
🧠 Rogers running on port 8080
[Rogers] ❤️ Alive @ 11/9/2025, 7:04:23 PM | Uptime: 3.0 min | RAM: 6.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:07:23 PM | Uptime: 6.0 min | RAM: 10.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:10:23 PM | Uptime: 9.0 min | RAM: 6.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:13:23 PM | Uptime: 12.0 min | RAM: 8.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:16:23 PM | Uptime: 15.0 min | RAM: 7.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:19:23 PM | Uptime: 18.0 min | RAM: 10.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:22:23 PM | Uptime: 21.0 min | RAM: 6.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:25:23 PM | Uptime: 24.0 min | RAM: 7.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:28:23 PM | Uptime: 27.0 min | RAM: 11.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:31:23 PM | Uptime: 30.0 min | RAM: 6.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:34:23 PM | Uptime: 33.0 min | RAM: 3.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:37:23 PM | Uptime: 36.0 min | RAM: 9.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:40:23 PM | Uptime: 39.0 min | RAM: 5.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:43:23 PM | Uptime: 42.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:46:23 PM | Uptime: 45.0 min | RAM: 7.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:49:23 PM | Uptime: 48.0 min | RAM: 8.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:52:23 PM | Uptime: 51.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:55:23 PM | Uptime: 54.0 min | RAM: 5.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 7:58:23 PM | Uptime: 57.0 min | RAM: 8.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:01:23 PM | Uptime: 60.0 min | RAM: 7.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:04:23 PM | Uptime: 63.0 min | RAM: 4.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:07:23 PM | Uptime: 66.0 min | RAM: 6.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:10:23 PM | Uptime: 69.0 min | RAM: 5.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:13:23 PM | Uptime: 72.0 min | RAM: 5.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:16:23 PM | Uptime: 75.0 min | RAM: 5.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:19:23 PM | Uptime: 78.0 min | RAM: 8.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:22:23 PM | Uptime: 81.0 min | RAM: 5.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:25:23 PM | Uptime: 84.0 min | RAM: 5.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:28:23 PM | Uptime: 87.0 min | RAM: 5.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:31:24 PM | Uptime: 90.0 min | RAM: 4.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:34:23 PM | Uptime: 93.0 min | RAM: 5.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:37:23 PM | Uptime: 96.0 min | RAM: 4.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:40:23 PM | Uptime: 99.0 min | RAM: 8.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:43:23 PM | Uptime: 102.0 min | RAM: 8.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:46:23 PM | Uptime: 105.0 min | RAM: 5.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:49:23 PM | Uptime: 108.0 min | RAM: 5.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:52:23 PM | Uptime: 111.0 min | RAM: 3.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:55:23 PM | Uptime: 114.0 min | RAM: 7.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 8:58:23 PM | Uptime: 117.0 min | RAM: 5.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:01:23 PM | Uptime: 120.0 min | RAM: 5.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:04:23 PM | Uptime: 123.0 min | RAM: 3.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:07:25 PM | Uptime: 126.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:10:24 PM | Uptime: 129.0 min | RAM: 3.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:13:24 PM | Uptime: 132.0 min | RAM: 4.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:16:24 PM | Uptime: 135.0 min | RAM: 3.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:19:24 PM | Uptime: 138.0 min | RAM: 5.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:22:24 PM | Uptime: 141.0 min | RAM: 8.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:25:24 PM | Uptime: 144.0 min | RAM: 5.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:28:24 PM | Uptime: 147.0 min | RAM: 4.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:31:24 PM | Uptime: 150.0 min | RAM: 4.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:34:24 PM | Uptime: 153.0 min | RAM: 4.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:37:24 PM | Uptime: 156.0 min | RAM: 6.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:40:24 PM | Uptime: 159.0 min | RAM: 6.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:43:24 PM | Uptime: 162.0 min | RAM: 6.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:46:24 PM | Uptime: 165.0 min | RAM: 4.9 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:49:24 PM | Uptime: 168.0 min | RAM: 4.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:52:24 PM | Uptime: 171.0 min | RAM: 5.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:55:24 PM | Uptime: 174.0 min | RAM: 6.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:58:24 PM | Uptime: 177.0 min | RAM: 5.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 10:01:24 PM | Uptime: 180.0 min | RAM: 5.2 MB | Requests: 0
gers] ❤️ Alive @ 11/9/2025, 9:32:42 PM | Uptime: 183.0 min | RAM: 5.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:35:42 PM | Uptime: 186.0 min | RAM: 4.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:38:42 PM | Uptime: 189.0 min | RAM: 7.0 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:41:42 PM | Uptime: 192.0 min | RAM: 10.3 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:44:42 PM | Uptime: 195.0 min | RAM: 5.1 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:47:42 PM | Uptime: 198.0 min | RAM: 5.1 MB | Requests: 0
